Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Potential	Temperature	Equilibruim
6.40147024099	8.30394393052	7.22297653157	4.85734697555	4.41940209794	6.74457984617	5.49981817846	3.90672682604	6.10067452922	4.0925677439	6.79164641848	7.22493800565	26246.649341	534.050500957	False	
6.28542090197	7.67475922887	6.78244170459	8.76264185835	2.8247037989	7.54083891818	6.01254439981	2.61557825844	7.07916006714	4.89469647493	5.51139646616	7.29808501192	25250.3119095	534.050500957	True	
7.0423533025	8.14838110326	6.07349135509	6.52825447286	4.67398609018	5.45200674312	6.47492948066	2.76350937362	6.94395793626	6.94063327432	5.88055269407	7.6472336371	27391.1787753	528.709995947	True	
6.67818701512	7.58076983055	7.15498100842	0.725186860464	5.93553783819	7.66121496903	6.50459686637	4.3754163079	6.96024178879	5.66882521777	5.453538176	8.16235624814	25228.6818922	523.422895988	True	
6.05275646757	7.52634147189	6.31562678821	4.97495182421	6.12959534031	7.29679271231	6.88820488607	2.50129630907	7.13849556473	6.13047032949	6.78737414474	7.46092877207	25543.2484347	518.188667028	True	
6.42857030946	7.98181966551	6.48828790394	6.47249913497	6.49395359743	6.85416899137	6.93431614191	3.41641402796	6.910324145	6.2281639352	5.73393418312	6.96732302031	24106.6069669	513.006780358	True	
6.74363576135	7.84743367442	7.55028302413	8.43551338355	6.9875868828	6.56599218798	6.02758443045	2.40186790381	6.51297630266	4.4700592067	5.25109934717	7.71048777899	25247.2285633	507.876712554	True	
6.59052609942	8.10201625808	6.57087965469	7.1180406084	5.53888099983	7.2191186017	6.88135129132	3.27783607608	7.13323324174	5.42980566343	6.74604911448	6.51834120439	23977.8970881	502.797945429	True	
6.93690864659	8.21986490461	6.70575130136	6.71805088934	8.11783893154	9.03573704899	6.23064893915	3.12717559574	6.46246119314	4.20230938686	5.97240003752	7.15494835735	24253.6425251	497.769965974	True	
7.04221585524	7.38876788529	6.7035537057	5.5700274165	6.02455815812	7.91748107901	5.17810895413	3.32718160656	6.77631523319	5.63880616143	5.7250631892	7.03764275274	24231.4630188	492.792266315	True	
6.55487096658	7.95290450614	6.68916426139	5.73276844396	7.63769329538	8.34085423858	5.70034406066	2.47055155097	6.79308346193	5.07362609979	6.1920425911	7.83721298119	23306.4700113	487.864343651	True	
7.01934796895	7.74706567195	6.20157821887	4.09012449444	5.50490238559	9.11530961556	6.05654095826	3.18765450824	6.35979324228	5.2388435103	6.45552051702	7.68956417246	24382.8642579	482.985700215	True	
7.03083192006	8.33852265528	7.65058659933	5.39438922483	8.49357356507	6.35819137119	6.31300008585	2.2608391248	6.59284070653	5.02501477741	6.75084951567	7.54694633383	25970.1128675	478.155843213	True	
6.30986455032	8.24116707985	7.5481854482	4.43251266308	7.79420894957	9.2274308301	6.87661079905	2.92651482582	6.97621612314	5.32976042496	5.66453376859	7.41051589786	25817.7561347	473.374284781	True	
6.66998433107	8.16057688669	6.56395555739	5.08424754291	3.90776023299	5.87606167452	5.89261634787	3.86129836718	6.80659812936	5.38458477224	5.82887996133	7.00533984438	24569.6933486	468.640541933	True	
6.94597500308	7.20972122148	6.88621896781	7.55123820029	6.4235402579	8.18248436489	6.52440212719	4.75760066904	6.21171332405	5.12606942203	6.87912267185	7.2702744744	24936.4299132	463.954136514	True	
