Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Potential	Temperature	Equilibruim
4.33024211179	1.4826959013	6.73332199789	3.91223371683	-2.43821225306	2.28902498866	3.53031826414	4129.8723651	1020.93737367	True	
4.53822062914	2.07692253692	6.49578436289	2.20120835743	-2.45186242256	2.36516526353	2.93910521629	2717.89087227	969.890504988	False	
4.2682714422	2.45363927716	5.8015714428	0.636693530762	-2.50738297196	2.32100796298	3.7405463925	3168.44358969	969.890504988	True	
6.52806205366	2.26662962493	6.47843891334	1.9865758836	-2.4124269851	2.97807326024	2.29999694434	1610.5785632	960.191599939	True	
6.0603810308	1.21850641151	6.04506152488	0.758754697614	-2.41217336573	2.7642384399	1.29916434788	2301.61543561	950.589683939	True	
4.84662962031	2.83619107041	5.64281187353	2.84304841473	-2.41315215314	2.51453190271	1.07830589047	1981.3501521	941.0837871	True	
5.4147615767	3.06096859959	7.10226298365	6.22758472088	-2.41730123773	2.83672725385	-0.0731237429287	3956.15674404	931.672949229	True	
5.22265658409	2.62837777019	5.9391093638	3.20594113604	-2.40720744339	2.70543133102	-0.289471607154	1587.9400816	922.356219737	True	
5.68161802405	2.26317036479	6.42347758228	3.52161284694	-2.37971614977	2.67566566362	0.779206642517	1613.71611579	913.132657539	True	
4.85053798113	1.57588758405	6.6833640997	1.18660598178	-2.4336890607	2.42633961846	-0.119276278483	1963.40336343	904.001330964	True	
4.60448610577	0.879667448361	5.66974644904	3.54469152759	-2.47629921451	2.37931133084	0.046179687634	3428.31259684	894.961317654	True	
4.14310944006	0.433096198961	5.6517695651	2.81345224416	-2.36122291193	1.9703080816	0.6940648267	2388.02272367	886.011704478	True	
4.8324175986	0.23020800138	6.53973002489	0.125720889204	-2.43070681565	2.28405592028	1.1010995495	2243.5704934	877.151587433	True	
3.2957292721	0.194232110784	6.28001675218	0.71354656944	-2.25514432906	1.78669161119	1.76094691786	5519.37714056	868.380071558	True	
4.02031022006	0.0556585525777	7.08830680988	1.41742221232	-2.26557334679	1.92600643841	1.66533076149	5321.41157018	859.696270843	True	
4.05447319387	0.164058256518	6.21745725874	1.2798776571	-2.4921013655	1.905988025	1.91243369989	3409.93706026	851.099308134	True	
4.53017845805	0.285834201209	5.93317267329	2.16921353509	-2.36637669138	2.19704501792	2.95251582748	1919.1631929	842.588315053	True	
5.84169606518	1.67468184523	6.42489502735	4.65217441235	-2.32404298203	2.72351459295	3.93683165595	2016.40102737	834.162431903	True	
5.70225516539	2.94426613326	6.74752514559	3.6176669629	-2.51075620549	2.78375337794	2.94939700167	3713.64054644	825.820807584	True	
4.99854516482	0.920012809569	6.29899620332	2.08833501087	-2.39342999656	2.34444800252	1.10030194892	1392.8596811	817.562599508	True	
5.72405386995	1.09048445349	6.71873243845	1.84049213955	-2.44016577915	2.62296726341	1.38047908719	2083.79685421	809.386973513	True	
5.38615259041	1.08381527106	6.59270790037	2.93359071305	-2.39340324919	2.51154155177	1.91776541892	1514.7058462	801.293103778	False	
6.39939390281	2.04472431359	6.04026124098	1.90991848762	-2.49154240211	2.95474851896	0.375585140808	2105.82432451	801.293103778	True	
